ID_Pedido,Texto_Incidencia,Categoria_Origen,Texto_Limpio
ID_7425428b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,pediod noviembr reclam much vec dad respuest quier envi nuev stock brick dig client escoj hag envi envi camiset regal molesti ocasion
ID_3395c665,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped ener llegaod client reclam vari ocasion
ID_3067724b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 12 ener hoy 17 febrer dan perd despues hab reclam much ocasion envi nuev
ID_374927e9,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd 30 ener
ID_b9761ade,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi nuev
ID_33f94b9b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi prend nuev
ID_2cf0569f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd mrw envi nuev prend
ID_a8df1924,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,entreg errone inpost ofrec color nuev envi
ID_f4ceb0c6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend compr noviembr lleg bastant grand intent comunic bastant vec respuest termin plaz cambi
ID_ab4722ad,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_9f0de25c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend entreg gorc volvi nav
ID_896975f6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cancel ped falt stock vien quej tiend cancel ped falt stock ido consum inform quier manteng preci ped hiz 34 649 96 10 51
ID_4e040690,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet prepar falt stock
ID_0b380305,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,hac dos ped quer q hac dev 2x1
ID_3581ba3d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped prepar falt stock
ID_44ef79aa,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg
ID_c526fd39,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped ener lleg todavi pregunt luis
ID_ddb3f86e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg
ID_3581ba3d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped stock ambas prend llam client cambi
ID_bba62757,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped 29 ener todavi envi pregunt mailiing pddo sab excel reflej ningun bordador
ID_491fbf33,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped diciembr lleg pol pon fuenteventur lug fuerteventur llev ener lleg tiend arregl llev erik mas notici forr llam erik sab si tiend tampoc
ID_a0cae593,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg ped client 50469 ped pregunt luis si sab encuentr llam client luis respond
ID_dab45e0f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet mand client 50459
ID_db495a88,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet entreg
ID_2ddf4b98,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend mal bord
ID_d7f495ac,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg num seguimient ver si devuelt
ID_a59e1546,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend inicial deberi llev
ID_77f5591e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend defectu
ID_930aabb4,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg dos forr errone
ID_9812d330,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,falt stock forr burde ferret vuelqu stock mir cambi forr pol burde color mailing dic fall stock azul marin llam client coment obteng respuest envi mensaj
ID_778af555,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prepar
ID_20b15248,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend ciud bord pid jaen lleg jerez
ID_bd2a48bb,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped prepar envi final ener pregunt mailing
ID_0380079b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg prend
ID_ff75e391,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client recib ped prend incorrect ped mailing envi prend correct retorn
ID_97c3df5b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg dos prend mal ped mailing envi correct
ID_f40882de,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client lleg dos prend mal mand bord prend correct envi retorn incorrect
ID_038df691,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,recib prend mal envi correct junt retorn errone
ID_f29d56d8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 64334 64344 numer seguimient avanz pregunt luis 64334 ped sep dos hac envi pertinent client sol lleg dos forr blanc rot
ID_f0751a93,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 65374 hac envi pertinent dos paquet respect dueñ
ID_831283ab,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 65347 notific luis hac recog envi pertinent
ID_141a66f7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg dos prend mal inform mailing hac envi nuev
ID_3aec222b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend mal condicion notific mailing recog reivs jeas envi nuev prend
ID_9ce08b3c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped entreg client ped justif entreg ped luis luis envi imag justif entreg habl client envi prend tiend erik bord inicial recoj tiend client envi prend tiend erik q bord inicial piñ
ID_c6c7d64a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend bord mal condicion
ID_1ec38fa1,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd ped 31 diciembr lleg todavi reclam
ID_b91fcd0d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client llam bastant enfad tardanz ped reclam ped
ID_bb66be08,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg camiset ped reclam mailing esper adri envi factur
ID_04312366,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg client reclam luis bastant vec llam client ofrec prend envi
ID_180f8e6c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 66275 inform mailing ped recog ambos envi etiquet recog
ID_89a4929e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend desc reclam mailing envi nuev recog anterior
ID_cac2bff3,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend gomill rot hac cambi ped mailing recog prend incorrect lleg nuev prend lleg bord mand recog mand correct bord
ID_3af4de30,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet lleg reclam mailing
ID_79e394af,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet num seguiment reclam mailing
ID_d45c067e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet numer seguimient nunc sid entreg envi factur mailing client quier reembols diner
ID_99b2709b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet envi perd reclam mailing
ID_c329ab97,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,posibl paquet perd part luis lleg prend cas hil
ID_1331092f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client avis prend deshilach avis mailing hac recog prend lleg almac envi bordador todavi vuelt
ID_10d14c29,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client recib prend bord reclam mailing recoj prend mand bord nuev
ID_23f37b72,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,numer seguimient avanz reclam mailing
ID_7c03b506,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd llam client volv llam eleg color mand factur
ID_af7c1f38,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped perd
ID_989824bb,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped perd
ID_7b22297c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_610470ae,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_e0a77c61,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_21085a43,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_9359d709,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet devuelt
ID_33688e09,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped perd
ID_f33d0f89,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_ff972768,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend mal
ID_cff1a6ee,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped devuelt almac mailing necesit fra proced nuev envi
ID_4e432d2a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg quemadur
ID_4a357f22,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped paraliz tiktok
ID_242c0f6b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc envi 63351
ID_29e50e32,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg punt convenient
ID_8301ab65,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc envi 63251
ID_2a71aa6d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped 29 ener todavi entrad rep kids pid
ID_d2d96331,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,devolu tiktok
ID_059b6a1f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend incorrect
ID_f62b6c0d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend errone
ID_3eadf01f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,hac devolucion diner vien client tiend ped perd
ID_ceb8b3f2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped sal
ID_7774ab9a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,recib ped marc entreg
ID_865e39d0,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_4d42bb7e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped mand bord
ID_15abc3e8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend mal envi
ID_1b2585c2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,stock prend
ID_ed171ff5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped entreg client
ID_9609bddf,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,pid 4 forr sol lleg dos
ID_d7843f66,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg 20 ener
ID_c7e1aef7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg ped falt prend
ID_a8f0901f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped perd
ID_7d89b0b2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped ener todavi lleg reclam luis
ID_5fad4d12,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,envi factur ped perd pregunt mailing
ID_b1d351b7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg diciembr reclam mailing coment sid error aparec envi realment asi stock ofrezc client cambi prend
ID_a3e784b5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend defectu envi prend nuev recog
ID_3f714d10,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend franj medi
ID_c12df2f9,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,perd paquet
ID_eb559800,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend tar
ID_41d447de,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 64344 mir caj anterior localic ped envi correct prend tenai luis reclam
ID_7e9db845,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet entreg person client
ID_f52aa8a8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 65275 inform mailing cruc ped ped etiquet recog dos envi etiquet recog
ID_a7803160,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd corre
ID_26554382,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd
ID_ae0d42e7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet entreg citybox client va abrirl reclam mailing justif entreg dni coment client color quier envi nuev
ID_e4f91b05,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,sol entreg dos prend ped diciembr reclam envi prend habi qued atras
ID_7ff837c2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend ningun tip bord tambi mal bord reclam mailing recoj envi correct
ID_bcf9e7e7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg dos forr polar
ID_71b82b5d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet numer seguimient perd doy eleg client color dio luis nunc lleg mand
ID_d45c067e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet envi perd
ID_48994982,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,seguimient par
ID_77cf9641,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet envi lleg client reclam mailing client quier reembols coment puest reclam explic situacion ped reclam ver situacion encuentr
ID_fed361c4,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,mand gorc regres ped
ID_82b34dff,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,luis entreg unic prend dos
ID_0122ef0d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped perd sal entreg papeleri libreri nuev habl dueñ tiend dic paquet diciembr pued ten paquet diciembr
ID_4e9a17a6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet sal almac mir ferret final envi dos prend tiend
ID_680f434f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet dañ corre
ID_116a5512,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg mal ped envi tiend retorn gris plom bordador gris carbon
ID_21f0b882,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client pid dos forr ciudad pid cambi ciud avis adri lleg client dos forr mism ciud ofrezc color mand bord nuev recog prend errone
ID_b8fb4db7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client pid dos prend s m envi bord equivoc cog l vez s llam client ofrec color quier regal quier dos igual ningun habl ferret si reembols diner
ID_50318e3a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet entreg person
ID_934138d5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg prend color errone ofrezc color
ID_d26fe9f9,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet rot
ID_057fd1e4,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,dos forr polar lleg inicial bord pid recog luis
ID_90cc11b5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client solicit reembols
ID_26f1f136,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,esper ten stock polar pfrec client
ID_2198322f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend ped 68355 pregunt luis si alli ped hac cambi prend
ID_e8e0f825,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg prend inicial grab pid recog luis
ID_22ef6ef5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,numer seguimient lleg client ofrec prend
ID_39630d63,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend lleg client reclam eric coment nunc prend almac tramit nuev prend bord
ID_20f2e1f1,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,tramit nuev prend
ID_c012492e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,tramit nuev prend
ID_63d18be7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,llam client tramit nuev prend cog telf
ID_f17af0a8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,reclam luis si bord excel sol aparec 12
ID_00ba4ffa,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,tramit nuev prend supon bord notici prend
ID_9d136587,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,tramit recog bord nuev letr
ID_4fccb2d5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,bord bander mal tramit recog
ID_0d701840,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,paquet perd pregunt luis si reclam corre pdte ferret dig stock eci cadiz
ID_fb7a876b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg prend bander españ lug bander portugal fall sistem recog client har entreg eric arregl
ID_97f9d439,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,pid alic lleg albacet pid recog mailing arregl eric
ID_4b5cd8bf,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg person prepar nuev ped adjunt mailing fot dni justif
ID_76547512,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg person reclam mailing dni client
ID_99e74c3a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cex rob paquet
ID_2f934b36,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,compr prend lav primer vez destiñ complet paradis
ID_8b2c1d25,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ampli plaz cambi
ID_64a526e7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,prend prevent va canari gast envi
ID_53716c67,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped lleg mal dio solucion moment todavi ped bien habl client recog camiset envi correct tiend fisic sevill
ID_7546a68e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 78717
ID_85bc9a5f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,cruc ped 80467
ID_98134a57,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,entreg forr pol inicial
ID_1608a00e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,client hac ped 19 octubr 31 recog inpost dia 7 entreg paquet envi prend nuev traves glov regal client cabr ped reclam traves connect novedad
ID_e6f30b71,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped 20 octubr sig ser entreg inpost dia 7 noviembr cre ped nuev salg posibl
ID_5e325048,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped veran pon forr pol dos vec deshilach letr
ID_3d6ba5c7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,hac cambi tall forr pol sac etiquet lleg sal ped pierd sac nuev
ID_295f9721,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped tard dias envi duplic reclam bigblu llev ped vuelt almacen laur revis si devuelt almacen seman
ID_93dc35ea,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped 17 diciembr 12 ener todav sid entreg reclam inpost dos ocasion
ID_4900c05f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,dan color eleg client
ID_91c2b208,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,inpost devuelv paquet nav lleg entreg
ID_f15af934,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,inpost entreg ped
ID_629c1ae2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped man inpost 2612
ID_e41f2d8c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped devuelt inpost famili lia bastant envi nuev mrw paquet dic jos manuel man
ID_f395a8ca,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,ped retras 31 inpost
ID_97ece9f0,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,reclam abiert inpost movimient 2612
ID_f6ec05c6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL,lleg pol bord espald lleg prend duplic delped 97986
